E_eV,a_0_A=2.27727
10.0,-0.00031163605748601677
10.596372886056477,-0.00030273949705398516
11.228311834035287,-0.0002940969148944272
11.897937907435857,-0.00028570106045659553
12.607498664233685,-0.000277544890177867
13.359375700667908,-0.0002696215615746621
14.156092644919916,-0.0002619244275020577
15.000323627513291,-0.000254447030577275
15.894902256865416,-0.00024718309776236536
16.84283113011666,-0.00024012653510154972
17.847291911159612,-0.00023327142260879484
18.91165600969468,-0.00022661200930134003
20.03949589715557,-0.00022014270837500565
21.23459709748593,-0.00021385809251723632
22.50097089301335,-0.0002077528893539471
23.842867788067263,-0.00020182197702635325
25.26479177553053,-0.0001960603798940715
26.77151545420944,-0.00019046326436088917
28.368096047762684,-0.00018502593481969928
30.059892378955837,-0.00017974382971319873
31.852582856214337,-0.00017461251770704546
33.752184532845696,-0.0001696276939722643
35.76507330290209,-0.00016478517657378226
37.89800530146941,-0.00016008090296206306
40.15813958121152,-0.00015551092656489957
42.55306214128212,-0.00015107141347650175
45.09081138925582,-0.0001467586392411056
47.77990512153969,-0.00014256898572840258
50.62936911282342,-0.00013849893809816938
53.64876741052673,-0.00013454508185155114
56.848234435925576,-0.00013070409996652436
60.23850899970239,-0.00012697277011513618
63.83097034609155,-0.00012334796196018623
67.63767634659995,-0.00011982663452908187
71.67140397149751,-0.00011640583366266492
75.94569217491767,-0.00011308268953686878
80.47488733750892,-0.00010985441425512747
85.27419141916292,-0.00010671829950951584
90.35971298344077,-0.00010367171430865967
95.74852126495772,-0.00010071210277050931
101.45870346119995,-9.783698197812473e-05
107.50942544107035,-9.504393989667361e-05
113.92099607392682,-9.233063334989483e-05
120.71493539503045,-8.969478605432971e-05
127.914046836196,-8.713418670967174e-05
135.54249376408254,-8.464668714363292e-05
143.62588058302035,-8.223020050977029e-05
152.1913386745902,-7.988269953676088e-05
161.26761746240678,-7.760221482765587e-05
170.8851809077575,-7.538683320768812e-05
181.07630975998174,-7.323469611924554e-05
191.87520990478345,-7.114399806266532e-05
203.31812717414422,-6.911298508153991e-05
215.44346900318845,-6.713995329126446e-05
228.2919333423335,-6.522324744959107e-05
241.90664525741153,-6.336125956799085e-05
256.3333016762518,-6.155242756265857e-05
271.62032476755695,-5.9795233944028584e-05
287.8190244668795,-5.808820454370193e-05
304.9837706952068,-5.642990727771743e-05
323.1721758481955,-5.481895094512847e-05
342.44528816856945,-5.3253984060878255e-05
362.8677966507226,-5.1733693721993744e-05
384.5082481652772,-5.025680450614753e-05
407.4392775323618,-4.882207740166347e-05
431.7378513158359,-4.742830876806846e-05
457.48552615674055,-4.607432932631818e-05
484.7687225130567,-4.475900317784993e-05
513.679014724559,-4.3481226851639333e-05
544.3134383763522,-4.2239928378461705e-05
576.7748159927352,-4.103406639158129e-05
611.1721021545633,-3.9862629253113834e-05
647.6207491984753,-3.872463420532989e-05
